员工ID,姓名,年龄,薪资,入职日期,部门,绩效分数,是否在职,年薪,绩效等级
U014,用户14,54.0,13512.56,2021-01-25,人事部,66.3,True,162150.72,待改进
U020,用户20,58.0,10658.49,2021-07-24,人事部,77.0,False,127901.88,合格
U008,用户8,33.0,11921.17,2020-07-29,技术部,51.6,True,143054.04,待改进
U010,用户10,25.0,3793.32,2020-09-27,技术部,72.5,True,45519.840000000004,合格
U009,用户9,37.0,9797.64,2020-08-28,未知,92.1,True,117571.68,优秀
U019,用户19,38.0,14565.23,2021-06-24,财务部,87.4,False,174782.76,良好
U004,用户4,57.0,13497.19,2020-03-31,财务部,87.8,False,161966.28,良好
U015,用户15,38.0,9501.85,2021-02-24,财务部,78.5,True,114022.20000000001,合格
U012,用户12,38.0,6957.11,2020-11-26,财务部,96.3,True,83485.31999999999,优秀
U013,用户13,50.0,4540.31,2020-01-01,财务部,86.4,True,54483.72,良好
U002,用户2,43.0,3013.24,2020-01-31,财务部,69.6,False,36158.88,待改进
U017,用户17,36.0,0.0,2021-04-25,财务部,98.1,True,0.0,优秀
U011,用户11,25.0,19553.84,2020-10-27,销售部,69.8,True,234646.08000000002,待改进
U001,用户1,53.0,18955.4,2020-01-01,销售部,58.7,False,227464.80000000002,待改进
U005,用户5,22.0,13398.1,2020-04-30,销售部,71.3,False,160777.2,合格
U007,用户7,53.0,3392.06,2020-06-29,销售部,78.4,True,40704.72,合格
U006,用户6,35.0,0.0,2020-05-30,销售部,60.4,False,0.0,待改进
